"Participant","Condition","Trial","Age","Gender","Group","BlinkRate","BlinkCount","TotalTime"
"P10","s","1","18","f","e",0.611573981614666,97,158.6071398
"P10","co","2","18","f","e",0.649264345328824,103,158.6410847
"P10","co","2","18","f","e",0.246918759596525,160,647.9864076
"P12","s","1","2","m","e",0.651779505248971,89,136.549246
"P12","s","2","22","m","e",0.580406501830033,73,125.7739184
"P12","co","1","22","m","e",0.509117236046265,69,135.5287056
"P12","co","2","22","m","e",0.501172888646639,52,103.7566101
"P13","s","1","32","m","c",0.512223630007213,60,117.1363375
"P13","co","2","32","m","c",0.538635279301225,55,102.1099102
"P13","co","1","32","m","c",0.559314937107202,67,119.7893987
"P13","co","2","32","m","c",0.558607692670327,42,75.1869345
"P14","s","1","22","m","e",0.451629936005655,107,236.9196359
"P14","s","2","22","m","e",0.595356659669138,102,171.3258739
"P14","co","1","22","m","e",0.372553150255777,26,69.7886999
"P14","co","2","22","m","e",0.528381532706793,32,60.5622983
"P16","s","1","18","m","e",0.600125223392535,57,94.9801771
"P16","s","2","18","m","e",0.847357798454306,73,86.1501483
"P16","co","1","18","m","e",0.480611837946299,52,108.1954207
"P18","s","31","31","f","c",0.579202173576265,57,98.4112329
"P18","s","2","31","f","c",0.692023468279047,73,105.487752
"P18","co","1","31","f","c",0.537016134353365,52,96.8313551
"P18","co","2","31","f","c",0.628010413023786,67,106.6861291
"P19","s","1","30","f","c",0.737840106716108,65,88.0949672
"P19","s","2","30","f","c",0.668474925100423,66,98.7322
"P19","co","1","30","f","c",0.631412407641906,71,112.4463174
"P19","co","2","30","f","c",0.553203462585645,53,95.8056187
"P2","s","1","19","m","e",0.926382417721708,87,93.9136995
"P2","s","2","19","m","e",0.852625849706981,93,109.074807
"P2","co","1","19","m","e",0.616367955397258,77,124.9253783
"P2","co","2","19","m","e",0.575288121717235,43,74.7451553
"P20","s","1","25","m","c",0.518605925163682,101,194.7528848
"P20","s","2","25","m","c",0.520392818815085,95,182.5544023
"P20","co","1","25","m","c",0.466944866053576,45,96.3711206
"P20","co","2","25","m","c",0.481972884875186,38,78.8426096
"P21","s","1","25","m","c",0.383279343399289,160,417.4500994
"P21","s","1","25","m","c",0.43221724597339,62,143.4463816
"P21","co","1","25","m","c",0.354937404984366,66,185.9482801
"P21","co","2","25","m","c",0.351679005567235,50,142.1751063
"P22","s","1","32","f","c",0.577493664858403,84,145.4561411
"P22","s","2","32","f","c",0.542977616233905,64,117.8685789
"P22","co","1","32","f","c",0.461676611753705,36,77.9766596
"P22","co","1","32","f","c",0.299581928924457,58,193.6031329
"P23","s","1","29","m","c",0.339319007977279,36,106.0948522
"P23","s","2","29","m","c",0.445652668503045,39,87.512098
"P23","co","1","29","m","c",0.392551509466175,48,122.2769467
"P23","co","2","29","m","c",0.457728615387244,45,98.3115289
"P24","s","1","27","f","c",0.548186992606786,51,93.0339477
"P24","s","2","27","f","c",0.715102420119908,59,82.505664
"P24","s","1","27","f","c",0.63420784228774,53,83.5688184
"P24","co","2","27","f","c",0.568826201658688,37,65.0462301
"P25","s","1","26","m","c",0.424906636253823,116,273.0011492
"P25","s","1","26","m","c",0.387163042768427,96,247.9575512
"P25","co","1","26","m","c",0.37252360907915,61,163.7480109
"P25","co","2","26","m","c",0.410365788873185,48,116.9688149
"P26","s","1","25","f","c",0.27980325295213,51,182.2709331
"P26","s","2","25","f","c",0.34137542459259,76,222.6287967
"P26","co","1","25","f","c",0.280069458831522,30,107.1162851
"P26","co","2","25","f","c",0.437376219915015,46,105.1726132
"P27","s","1","27","f","c",0.645533750207287,70,108.4373977
"P27","s","2","27","f","c",0.438645079079871,45,102.5886352
"P27","co","1","27","f","c",0.391495713666534,28,71.5205787
"P27","co","2","27","f","c",0.510407309243637,36,70.5319053
"P28","s","1","20","m","c",0.522461614133818,47,89.958762
"P28","s","2","20","m","c",0.458656133189302,41,89.3915878
"P28","co","1","20","m","c",0.255686283631128,19,74.3098133
"P28","co","2","20","m","c",0.260959684898821,25,95.8002383
"P29","s","1","26","m","c",0.460718649533794,56,121.5492363
"P29","s","1","26","m","c",0.43175549760186,42,97.277279
"P29","co","1","26","m","c",0.360360927135524,31,86.0248647
"P29","co","2","26","m","c",0.332337922292886,31,93.2785515
"P30","s","1","18","f","c",0.444012402365857,63,141.8879285
"P30","s","2","18","f","c",0.51021426272635,55,107.7978489
"P30","co","1","18","f","c",0.316368962469447,31,97.9868561
"P30","co","2","18","f","c",0.392609304654341,38,96.7883327
"P4","s","1","22HeadPos","-0.08228806","",0,0,85.1492437
"P4","s","2","22","m","",0.319745384039249,25,78.1872116
"P4","co","1","23","m","",0.245334447911635,39,158.9666691
"P5","s","1","28","m","e",0.48428336261096,79,163.1276358
"P5","s","2","28","m","e",0.677144308982314,69,101.8985157
"P5","co","1","28","m","e",0.411149934172062,37,89.9915017
"P5","co","2","28","m","e",0.394292597888134,48,121.7370051
"P6","s","1","23","m","e",0.752370086336182,61,81.0771203
"P6","s","2","26","m","e",0.237630532070124,20,84.1642689
"P6","co","1","23","m","e",0.326174975485384,34,104.2385301
"P6","co","2","23","m","e",0.361270302724532,29,80.2723052
"P7","s","1","26","f","e",0.12116726611829,10,82.5305408
"P7","s","2","26","f","e",0.298110407654848,20,67.0892377
"P7","co","1","26","f","e",0.302833235232553,37,122.1794562
"P7","co","2","26","f","e",0.240285510195293,28,116.5280419
"P8","s","1","18","m","e",0.373510045085775,36,96.38295
"P8","s","2","18","m","e",0.516758714116877,44,85.146121
"P8","co","1","18","m","e",0.493659542618792,35,70.899065
"P8","co","2","18","m","e",0.475247459347132,32,67.3333426
"P9","tut","1","25","f","e",0.0332937286412747,106,3183.7827821
"P9","tut","1","25","f","e",0.0547499020370288,173,3159.8230054
"P9","co","1","25","f","e",0.709323378117803,50,70.4897111
"P9","co","2","25","f","e",0.665813165641435,41,61.5788364
