"Group","TimeBin","AvgVelocity","SDVelocity"
"c",0,0.0927564479208526,0.0686744970700098
"c",3,0.140381167464189,0.109890435670195
"c",5,0.178300589683819,0.164527540841675
"c",7,0.217084557265824,0.198389142869083
"c",9,0.263720297099291,0.270320048177316
"c",11,0.316665623426706,0.338396235281849
"c",13,0.364575607814438,0.295903354391823
"c",15,0.421235460080449,0.313503858947318
"c",17,0.486064993703924,0.357633049637147
"c",19,0.554874604868712,0.475973887549219
"c",21,0.61947814404708,0.536646998370896
"c",23,0.683295618798691,0.541169276971064
"c",25,0.723355585458473,0.500174355890825
"c",27,0.758268157918183,0.455489148599278
"c",29,0.78673047522966,0.480083863652151
"c",31,0.805228461533196,0.486228843746296
"c",33,0.840851691039286,0.678067092687353
"c",35,0.840124350637318,0.52906683210039
"c",37,0.838456799795795,0.522240248599901
"c",39,0.819801966804604,0.484422696328407
"c",41,0.802824219251389,0.490966996679628
"c",43,0.780751435083968,0.521167462067243
"c",45,0.760925606634481,0.566215484623068
"c",47,0.73365063221407,0.602261886974254
"c",49,0.688015274684891,0.54063650224747
"c",51,0.642951563533091,0.487796154892792
"c",53,0.612020592184969,0.506832421751585
"c",55,0.571580456800047,0.482257033295585
"c",57,0.535763511836955,0.482383886992139
"c",59,0.493734826185156,0.47508546232325
"c",61,0.455099930826473,0.463359451538427
"c",63,0.417235388286035,0.437473179088733
"c",65,0.39429970540707,0.664668085096411
"c",67,0.36424357622782,0.686378772515953
"c",69,0.325965940897016,0.442349907555782
"c",71,0.296975717370718,0.424817635965163
"c",73,0.277798698071882,0.456507799593994
"c",75,0.245057155777507,0.379182052139177
"c",77,0.219249320700128,0.29958309915324
"c",79,0.195145310049389,0.29895613904223
"c",81,0.192175860531966,0.515220748064248
"c",83,0.161603258189973,0.261185320539758
"c",85,0.147685514446004,0.250477666141834
"c",87,0.137608051985514,0.240422474374194
"c",89,0.124147177056649,0.231279149262208
"c",91,0.110760385152441,0.189499005212872
"c",93,0.100664328028475,0.259660575762575
"c",95,0.0769138032158775,0.136683105810865
"c",97,0.0556622507293653,0.121310511783242
"c",99,0.023892343585215,0.0568592478719871
"e",0,0.112983467732094,0.108125189840336
"e",3,0.160826423107687,0.154461717785894
"e",5,0.189903732913288,0.184410936460248
"e",7,0.225962592870691,0.222927531954269
"e",9,0.267508106703968,0.253421523038506
"e",11,0.315006135500942,0.28495545098968
"e",13,0.37861268620812,0.323951909911879
"e",15,0.443652942957773,0.353053937995247
"e",17,0.513536722929622,0.382982477068831
"e",19,0.583528548789965,0.409326877053282
"e",21,0.653264047509274,0.432528512499684
"e",23,0.712423632997549,0.454045191870291
"e",25,0.775004760746319,0.478274457626064
"e",27,0.824309520137709,0.501729912929095
"e",29,0.864728393635059,0.518149418701405
"e",31,0.893008262659645,0.540146311754791
"e",33,0.911375990756907,0.552763011660533
"e",35,0.929285792001885,0.569361131381547
"e",37,0.923509238899528,0.583355564065774
"e",39,0.913607025370725,0.571822117637674
"e",41,0.889007583854968,0.567737479882784
"e",43,0.865196812214006,0.567616512577126
"e",45,0.831909564595775,0.557486144953304
"e",47,0.794126838230426,0.546168789302864
"e",49,0.748667894215442,0.525388789527277
"e",51,0.70883286311262,0.509372762690844
"e",53,0.662532059664438,0.48871365523431
"e",55,0.62019167764413,0.464667234644924
"e",57,0.574817080536246,0.442212447054279
"e",59,0.532961569873201,0.425823370748399
"e",61,0.490132256998685,0.394404017937029
"e",63,0.455422567414578,0.36861711777517
"e",65,0.411662962200868,0.339621436028939
"e",67,0.374932044867644,0.31356087294535
"e",69,0.344450494162259,0.294757190935126
"e",71,0.309718374888349,0.262038420312511
"e",73,0.281643563766258,0.244374033988648
"e",75,0.256267960362802,0.223762443951849
"e",77,0.229575392758228,0.202536359107531
"e",79,0.209559696945003,0.188254524707859
"e",81,0.189753941525402,0.172693513362468
"e",83,0.173575177995903,0.161306615786633
"e",85,0.157438423977881,0.145842234164393
"e",87,0.142242859302912,0.132969901173921
"e",89,0.129099440277464,0.127878779507176
"e",91,0.116414657730062,0.118385072703573
"e",93,0.10056858286198,0.098471639608333
"e",95,0.0802138682460462,0.078807455953361
"e",97,0.0566974202423606,0.070560932300891
"e",99,0.0247578375596978,0.0404688641631878
